Gene stable ID,Gene name
ENSRNOG00000059765,Asic1
ENSRNOG00000052880,Prph
ENSRNOG00000005811,LOC688655
ENSRNOG00000055061,AABR07050391.1
ENSRNOG00000004509,Eapp
ENSRNOG00000032454,AABR07047714.1
ENSRNOG00000053233,AABR07018119.1
ENSRNOG00000015670,Stx7
ENSRNOG00000006761,Sh3gl2
ENSRNOG00000014970,Kif17
ENSRNOG00000018205,Ttl
ENSRNOG00000050188,AABR07030603.1
ENSRNOG00000051452,AABR07018124.2
ENSRNOG00000032352,Olr1591
ENSRNOG00000051372,Mycn
ENSRNOG00000061318,AC123095.2
ENSRNOG00000053723,AABR07062833.2
ENSRNOG00000025857,Ms4a5
ENSRNOG00000031161,Dppa3
ENSRNOG00000020843,LOC100360087
ENSRNOG00000056421,AABR07052897.2
ENSRNOG00000033473,Rpl36
ENSRNOG00000054725,Gtf3c4
ENSRNOG00000054354,AABR07052923.1
ENSRNOG00000046185,LOC686677
ENSRNOG00000007979,Phospho2
ENSRNOG00000010607,Rnf208
ENSRNOG00000058711,AABR07034598.1
ENSRNOG00000053458,AABR07065601.1
ENSRNOG00000054077,AABR07024870.1
ENSRNOG00000009324,Wdr54
ENSRNOG00000047396,Rmnd5b
ENSRNOG00000002911,Alb
ENSRNOG00000052782,AABR07054809.1
ENSRNOG00000042054,RGD1565959
ENSRNOG00000005015,Rabep1
ENSRNOG00000017869,Irf8
ENSRNOG00000027096,Ctsw
ENSRNOG00000061419,AABR07008485.1
ENSRNOG00000009712,Gale
ENSRNOG00000055835,AABR07065818.1
ENSRNOG00000042944,Cenpw
ENSRNOG00000027994,Rhox4g
ENSRNOG00000008156,Tgs1
ENSRNOG00000051486,AC112030.1
ENSRNOG00000043102,Bahcc1
ENSRNOG00000057789,AABR07069528.1
ENSRNOG00000010078,Spag1
ENSRNOG00000053944,AC114389.1
ENSRNOG00000052494,AABR07028535.1
ENSRNOG00000012767,Micu3
ENSRNOG00000024127,Atp13a5
ENSRNOG00000005679,Fap
ENSRNOG00000046330,AABR07029581.1
ENSRNOG00000007127,Bbs5
ENSRNOG00000008989,Cryl1
ENSRNOG00000025843,Ccdc102a
ENSRNOG00000032446,Recql4
ENSRNOG00000056904,Gtf3c2
ENSRNOG00000002291,Brwd3
ENSRNOG00000048320,Ndufa11
ENSRNOG00000005184,Nop10
ENSRNOG00000029995,Herpud2
ENSRNOG00000056474,AC096239.2
ENSRNOG00000013167,Hmgb2
ENSRNOG00000003548,AABR07059162.1
ENSRNOG00000012648,Ppp1r14d
ENSRNOG00000014683,Il1rl2
